command,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29
juggle the different kinds of fruit in the vicinity .,juggle,the,different,kinds,of,fruit,in,the,vicinity,.,,,,,,,,,,,,,,,,,,,,
paint the kitchen walls white .,paint,the,kitchen,walls,white,.,,,,,,,,,,,,,,,,,,,,,,,,
do mechanical turk for me on the computer !,do,mechanical,turk,for,me,on,the,computer,!,,,,,,,,,,,,,,,,,,,,,
hand me that axe .,hand,me,that,axe,.,,,,,,,,,,,,,,,,,,,,,,,,,
go over to that tree .,go,over,to,that,tree,.,,,,,,,,,,,,,,,,,,,,,,,,
help me with this puzzle .,help,me,with,this,puzzle,.,,,,,,,,,,,,,,,,,,,,,,,,
find the location of the next treasure box .,find,the,location,of,the,next,treasure,box,.,,,,,,,,,,,,,,,,,,,,,
tell me how i look in my gear .,tell,me,how,i,look,in,my,gear,.,,,,,,,,,,,,,,,,,,,,,
stand guard at the gate .,stand,guard,at,the,gate,.,,,,,,,,,,,,,,,,,,,,,,,,
mark this spot on my map as a reminder .,mark,this,spot,on,my,map,as,a,reminder,.,,,,,,,,,,,,,,,,,,,,
play hype music .,play,hype,music,.,,,,,,,,,,,,,,,,,,,,,,,,,,
find more of these roses .,find,more,of,these,roses,.,,,,,,,,,,,,,,,,,,,,,,,,
drive straight towards the town center for one mile .,drive,straight,towards,the,town,center,for,one,mile,.,,,,,,,,,,,,,,,,,,,,
turn left towards the dairy queen on the corner .,turn,left,towards,the,dairy,queen,on,the,corner,.,,,,,,,,,,,,,,,,,,,,
drive straight tell you reach the destination on the left .,drive,straight,tell,you,reach,the,destination,on,the,left,.,,,,,,,,,,,,,,,,,,,
can you chop down that tree for me ?,can,you,chop,down,that,tree,for,me,?,,,,,,,,,,,,,,,,,,,,,
can you go find a sheep for me and shear it ?,can,you,go,find,a,sheep,for,me,and,shear,it,?,,,,,,,,,,,,,,,,,,
i need you to find a cow and bring it back to me .,i,need,you,to,find,a,cow,and,bring,it,back,to,me,.,,,,,,,,,,,,,,,,
set an alarm for tomorrow at 2 p.m.,set,an,alarm,for,tomorrow,at,2,p.m.,,,,,,,,,,,,,,,,,,,,,,
